data,ticker,preco_fechamento,capturado_em_utc
2026-07-22,SNEL11,8.37,2026-07-22T22:34:24.821733+00:00
2026-07-22,TEPP11,7.87,2026-07-22T22:34:24.821733+00:00
2026-07-22,TRXF11,91,2026-07-22T22:34:24.821733+00:00
2026-07-22,VIGT11,49.6,2026-07-22T22:34:24.821733+00:00
2026-07-22,XPID11,48.53,2026-07-22T22:34:24.821733+00:00
2026-07-22,XPIE11,43.62,2026-07-22T22:34:24.821733+00:00
2026-07-22,XPML11,104.58,2026-07-22T22:34:24.821733+00:00
2026-07-22,AMZO34,61.87,2026-07-22T22:34:24.821733+00:00
2026-07-22,AUAU3,3.23,2026-07-22T22:34:24.821733+00:00
2026-07-22,LWSA3,3.8,2026-07-22T22:34:24.821733+00:00
2026-07-22,MGLU3,4.91,2026-07-22T22:34:24.821733+00:00
2026-07-22,TASA4,4.74,2026-07-22T22:34:24.821733+00:00
2026-07-23,ALOS3,26.93,2026-07-23T22:32:01.246207+00:00
2026-07-23,COIN11,38.48,2026-07-23T22:32:01.246207+00:00
2026-07-23,NASD11,20.17,2026-07-23T22:32:01.246207+00:00
2026-07-23,SPYI11,104.83,2026-07-23T22:32:01.246207+00:00
2026-07-23,LFTB11,123.92,2026-07-23T22:32:01.246207+00:00
2026-07-23,LFTS11,156.8,2026-07-23T22:32:01.246207+00:00
2026-07-23,BDIF11,71.5,2026-07-23T22:32:01.246207+00:00
2026-07-23,BDIV11,37.4,2026-07-23T22:32:01.246207+00:00
2026-07-23,BODB11,7.64,2026-07-23T22:32:01.246207+00:00
2026-07-23,BRZP11,180,2026-07-23T22:32:01.246207+00:00
2026-07-23,CPTI11,86.08,2026-07-23T22:32:01.246207+00:00
2026-07-23,ENDD11,108.5,2026-07-23T22:32:01.246207+00:00
2026-07-23,FATN11,79.59,2026-07-23T22:32:01.246207+00:00
2026-07-23,FATN12,0.03,2026-07-23T22:32:01.246207+00:00
2026-07-23,GARE11,8.18,2026-07-23T22:32:01.246207+00:00
2026-07-23,HGCR11,92.8,2026-07-23T22:32:01.246207+00:00
2026-07-23,IFRA11,91.71,2026-07-23T22:32:01.246207+00:00
2026-07-23,IFRI11,102.08,2026-07-23T22:32:01.246207+00:00
2026-07-23,JURO11,97.3,2026-07-23T22:32:01.246207+00:00
2026-07-23,KNIP11,90.73,2026-07-23T22:32:01.246207+00:00
2026-07-23,MANA11,9.14,2026-07-23T22:32:01.246207+00:00
2026-07-23,OGIN11,7.75,2026-07-23T22:32:01.246207+00:00
2026-07-23,PFIN11,62.15,2026-07-23T22:32:01.246207+00:00
2026-07-23,PPEI11,84.47,2026-07-23T22:32:01.246207+00:00
2026-07-23,RBIR11,72.18,2026-07-23T22:32:01.246207+00:00
2026-07-23,SNEL11,8.33,2026-07-23T22:32:01.246207+00:00
2026-07-23,TEPP11,7.88,2026-07-23T22:32:01.246207+00:00
2026-07-23,TRXF11,91.17,2026-07-23T22:32:01.246207+00:00
2026-07-23,VIGT11,49.5,2026-07-23T22:32:01.246207+00:00
2026-07-23,XPID11,49.5,2026-07-23T22:32:01.246207+00:00
2026-07-23,XPIE11,45.68,2026-07-23T22:32:01.246207+00:00
2026-07-23,XPML11,104.22,2026-07-23T22:32:01.246207+00:00
2026-07-23,AMZO34,59.34,2026-07-23T22:32:01.246207+00:00
2026-07-23,AUAU3,3.28,2026-07-23T22:32:01.246207+00:00
2026-07-23,LWSA3,3.69,2026-07-23T22:32:01.246207+00:00
2026-07-23,MGLU3,4.71,2026-07-23T22:32:01.246207+00:00
2026-07-23,TASA4,4.76,2026-07-23T22:32:01.246207+00:00
2026-07-24,ALOS3,26.19,2026-07-24T22:35:36.421032+00:00
2026-07-24,COIN11,38.24,2026-07-24T22:35:36.421032+00:00
2026-07-24,NASD11,19.92,2026-07-24T22:35:36.421032+00:00
2026-07-24,SPYI11,104.85,2026-07-24T22:35:36.421032+00:00
2026-07-24,LFTB11,124.15,2026-07-24T22:35:36.421032+00:00
2026-07-24,LFTS11,156.9,2026-07-24T22:35:36.421032+00:00
2026-07-24,BDIF11,70.7,2026-07-24T22:35:36.421032+00:00
2026-07-24,BDIV11,35.52,2026-07-24T22:35:36.421032+00:00
2026-07-24,BODB11,7.65,2026-07-24T22:35:36.421032+00:00
2026-07-24,BRZP11,180.17,2026-07-24T22:35:36.421032+00:00
2026-07-24,CPTI11,86.7,2026-07-24T22:35:36.421032+00:00
2026-07-24,ENDD11,108.51,2026-07-24T22:35:36.421032+00:00
2026-07-24,FATN11,79.5,2026-07-24T22:35:36.421032+00:00
2026-07-24,FATN12,0.03,2026-07-24T22:35:36.421032+00:00
2026-07-24,GARE11,8.18,2026-07-24T22:35:36.421032+00:00
2026-07-24,HGCR11,92.86,2026-07-24T22:35:36.421032+00:00
2026-07-24,IFRA11,91.19,2026-07-24T22:35:36.421032+00:00
2026-07-24,IFRI11,101.28,2026-07-24T22:35:36.421032+00:00
2026-07-24,JURO11,97.23,2026-07-24T22:35:36.421032+00:00
2026-07-24,KNIP11,90.54,2026-07-24T22:35:36.421032+00:00
2026-07-24,MANA11,9.13,2026-07-24T22:35:36.421032+00:00
2026-07-24,OGIN11,7.75,2026-07-24T22:35:36.421032+00:00
2026-07-24,PFIN11,62,2026-07-24T22:35:36.421032+00:00
2026-07-24,PPEI11,84.3,2026-07-24T22:35:36.421032+00:00
2026-07-24,RBIR11,73,2026-07-24T22:35:36.421032+00:00
2026-07-24,SNEL11,8.34,2026-07-24T22:35:36.421032+00:00
2026-07-24,TEPP11,7.93,2026-07-24T22:35:36.421032+00:00
2026-07-24,TRXF11,91.02,2026-07-24T22:35:36.421032+00:00
2026-07-24,VIGT11,49.2,2026-07-24T22:35:36.421032+00:00
2026-07-24,XPID11,49.86,2026-07-24T22:35:36.421032+00:00
2026-07-24,XPIE11,45.3,2026-07-24T22:35:36.421032+00:00
2026-07-24,XPML11,104.7,2026-07-24T22:35:36.421032+00:00
2026-07-24,AMZO34,59.2,2026-07-24T22:35:36.421032+00:00
2026-07-24,AUAU3,3.26,2026-07-24T22:35:36.421032+00:00
2026-07-24,LWSA3,3.6,2026-07-24T22:35:36.421032+00:00
2026-07-24,MGLU3,4.65,2026-07-24T22:35:36.421032+00:00
2026-07-24,TASA4,4.78,2026-07-24T22:35:36.421032+00:00
